"","Reef2","year","time_since_closure","rugosity","year_established","Reef","mean.biomass","SD","time_since_closure.x","mean.biomass.ha","SD.ha","time_since_closure.y","ben_pc1","long","lat","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","tsa_max.y","tsa_max.lag.sc","npp_mean_sc","ben_pc1_sc","rugosity_sc","time_since_closure_sc","log.biomass"
"1","Kisite",1995,22,1.44802023933903,1973,"Kisite",407.605,91.7580522352126,22,815.21,183.516104470425,22,2.4609095331627,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.254246623,0.0565160535780576,-0.518758508023392,1.61524750146509,2.27310705910181,-0.432034912440354,2.91126949842499
"2","Kisite",2004,31,1.2,1973,"Kisite",782.343333333333,250.770591550657,31,1564.68666666667,501.541183101315,31,0.972016127907163,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.397086711,-1.78383927955729,-0.518758508023392,0.42678982796278,-1.95930429833077,0.296097961220689,3.19442738177904
"3","Kisite",2006,33,1.2,1973,"Kisite",720.58,261.223940837487,33,1441.16,522.447881674973,33,1.036118824746,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.07435415,-0.451773718792868,-0.518758508023392,0.47795758898677,-1.95930429833078,0.457905266478699,3.15871219959239
"4","Kisite",2009,36,1.3,1973,"Kisite",917.5125,318.079999724912,36,1835.025,636.159999449824,36,1.70196487238924,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.678579956,1.25547835390713,-0.518758508023392,1.00944617097627,-0.2528260815885,0.700616224365713,3.26364198536636
"5","Kisite",2012,39,1.2,1973,"Kisite 2",455.9537777385,39.873844076545,39,911.907555477,79.7476881530899,39,2.20393029160624,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.140161979,-1.05789332213671,-0.518758508023392,1.41012270846074,-1.95930429833078,0.943327182252728,2.95995081400697
"6","Kisite",2012,39,1.2,1973,"Kisite 1",771.0015724905,223.23404732963,39,1542.003144981,446.46809465926,39,2.20393029160624,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,-0.140161979,-1.05789332213671,-0.518758508023392,1.41012270846074,-1.95930429833078,0.943327182252728,3.18808525947791
"7","Kisite",2013,40,1.23758666466206,1973,"Kisite Edge 2",374.4321060315,140.503832606138,40,748.864212063,281.007665212277,40,1.15685094132841,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.273913289,0.112084610826337,-0.518758508023392,0.574327826025943,-1.31789605347283,1.02423083488173,2.87440307631365
"8","Kisite",2013,40,1.23758666466206,1973,"Kisite Edge 1",680.57114105,30.8632264470429,40,1361.1422821,61.7264528940857,40,1.15685094132841,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.273913289,0.112084610826337,-0.518758508023392,0.574327826025943,-1.31789605347283,1.02423083488173,3.13390352498377
"9","Kisite",2015,42,1.25,1973,"Kisite 1",817.422628919,NA,42,1634.845257838,NA,42,1.81932429949976,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.698913289,1.31293059206783,-0.518758508023392,1.10312427527508,-1.10606518995964,1.18603814013974,3.21347665189082
"10","Kisite",2015,42,1.25,1973,"Kisite 2",1175.805919201,NA,42,2351.611838402,NA,42,1.81932429949976,39.38113,-4.71559,989.3159544,729.4661285,1517.137072,215.459747,158.9502437,1,0.698913289,1.31293059206783,-0.518758508023392,1.10312427527508,-1.10606518995964,1.18603814013974,3.37136563783263
